NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
1427,＜魚類＞　ひらめ　天然　生,94,20,2,0.4,440,22,26,240,0.1,0.4,0.03,12,3,0.6,0,0.04,0.11,8.6,0.33,1,16,0.82,3,0,0.1
1428,＜魚類＞　ひらめ　養殖　皮つき　生,115,21.6,3.7,3,440,30,30,240,0.1,0.5,0.02,19,1.9,1.6,0,0.12,0.34,10,0.44,1.5,13,0.89,5,0,0.1
1429,＜魚類＞　ひらめ　養殖　皮なし　生,100,21.2,2.5,3.4,470,8,31,230,0.1,0.3,0.02,9,2.3,1.6,0,0.22,0.07,11,0.48,1.1,12,0.86,10,0,0.1
1430,＜魚類＞　（ふぐ類）　とらふぐ　養殖　生,80,19.3,0.3,0.3,430,6,25,250,0.2,0.9,0.02,3,4,0.8,0,0.06,0.21,9.6,0.45,1.9,3,0.36,0,0,0.3
1431,＜魚類＞　（ふぐ類）　まふぐ　生,78,18.9,0.4,3.5,470,5,24,260,0.2,1.5,0.02,7,6,0.6,0,0.04,0.17,11,0.5,3,3,0.23,0,0,0.2
1432,＜魚類＞　ふな　生,93,18.2,2.5,3.4,340,100,23,160,1.5,1.9,0.04,12,4,1.5,0,0.55,0.14,5.3,0.11,5.5,14,0.69,1,0,0.1
1433,＜魚類＞　ふな　水煮,104,20.3,2.8,4.2,310,140,24,230,1.5,2.1,0.04,15,3.8,1.5,0,0.49,0.12,5,0.1,4.4,8,0.71,0,0,0.1
1434,＜魚類＞　ふな　甘露煮,266,15.5,3.6,45.6,240,1200,58,710,6.5,5.2,0.11,61,2,0.5,0,0.16,0.16,3.9,0.03,6.7,13,0.24,0,0,3.3
1435,＜魚類＞　ふな　ふなずし,181,21.3,7.9,13.6,64,350,20,240,0.9,2.9,0.23,43,3.6,4.6,4,0,0.07,4.1,0.03,7.4,15,0.14,0,0,3.9
1436,＜魚類＞　ぶり　成魚　生,222,21.4,17.6,7.7,380,5,26,130,1.3,0.7,0.08,50,8,2,0,0.23,0.36,14,0.42,3.8,7,1.01,2,0,0.1
1437,＜魚類＞　ぶり　成魚　焼き,260,26.2,20.4,10.2,440,6,28,170,2.3,0.9,0.1,42,5.4,2.1,0,0.24,0.39,15,0.38,3.8,6,1.38,2,0,0.1
1438,＜魚類＞　ぶり　はまち　養殖　皮つき　生,217,20.7,17.2,6.2,340,19,29,210,1,0.8,0.09,32,4,4.6,0,0.16,0.21,13,0.45,4.6,9,0.99,2,0,0.1
1439,＜魚類＞　ぶり　はまち　養殖　皮なし　生,180,21,12,5,390,5,29,220,1.1,0.5,0.1,41,4.4,5.5,0,0.17,0.23,12,0.53,6.6,9,0.99,3,0,0.1
1440,＜魚類＞　ほうぼう　生,110,19.6,4.2,4.6,380,42,34,200,0.4,0.5,0.04,9,3,0.5,0,0.09,0.15,8.6,0.44,2.2,5,0.82,3,0,0.3
1441,＜魚類＞　ホキ　生,78,17,1.3,3.3,330,20,24,160,0.3,0.4,0.02,43,1,0.9,0,0.03,0.16,4.4,0.07,0.7,13,0.42,0,0,0.4
1442,＜魚類＞　ほっけ　生,103,17.3,4.4,3.1,360,22,33,220,0.4,1.1,0.1,25,3,1.7,0,0.09,0.17,5.5,0.17,11,9,1.16,1,0,0.2
1443,＜魚類＞　ほっけ　塩ほっけ,113,18.1,4.9,3.2,350,20,30,220,0.5,0.4,0.04,20,3,0.7,0,0.1,0.27,6,0.18,7.3,2,0.79,0,0,3.6
1444,＜魚類＞　ほっけ　開き干し　生,161,20.6,9.4,3.7,390,170,37,330,0.5,0.9,0.05,30,4.6,1.3,0,0.1,0.24,7.1,0.21,5.3,7,0.65,4,0,1.8
1445,＜魚類＞　ほっけ　開き干し　焼き,179,23.1,10.9,4,410,180,41,360,0.6,1,0.06,39,3.5,1.6,0,0.14,0.26,7.7,0.17,5.3,11,0.65,2,0,2
1446,＜魚類＞　ぼら　生,119,19.2,5,4.5,330,17,24,170,0.7,0.5,0.06,8,10,1.6,0,0.16,0.26,8.1,0.43,4.7,4,0.66,1,0,0.2
1447,＜魚類＞　ぼら　からすみ,353,40.4,28.9,14.3,170,9,23,530,1.5,9.3,0.19,350,33,9.7,7,0.01,0.93,9.4,0.26,28,62,5.17,10,0,3.6
1448,＜魚類＞　ほんもろこ　生,100,17.5,4.1,1,320,850,39,640,1.3,3.4,0.07,250,5,2.9,0,0.03,0.2,5.4,0.13,9,37,0.73,2,0,0.2
1449,＜魚類＞　（まぐろ類）　きはだ　生,102,24.3,1,3.4,450,5,37,290,2,0.5,0.06,2,6,0.4,0,0.15,0.09,22,0.64,5.8,5,0.36,0,0,0.1
1450,＜魚類＞　（まぐろ類）　くろまぐろ　天然　赤身　生,115,26.4,1.4,4.9,380,5,45,270,1.1,0.4,0.04,83,5,0.8,0,0.1,0.05,19,0.85,1.3,8,0.41,2,0,0.1
1451,＜魚類＞　（まぐろ類）　くろまぐろ　天然　脂身　生,308,20.1,27.5,7.5,230,7,35,180,1.6,0.5,0.04,270,18,1.5,0,0.04,0.07,14,0.82,1,8,0.47,4,0,0.2
1452,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　生,153,24.8,7.6,2.8,430,3,38,270,0.8,0.5,0.02,840,4,1.5,0,0.16,0.05,20,0.51,2.5,10,0.27,2,0,0.1
1453,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　水煮,173,27.2,8.3,5.4,400,3,38,270,1,0.6,0.02,900,4.1,1.8,0,0.16,0.04,20,0.4,3.2,12,0.28,2,0,0.1
1454,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　蒸し,187,28,9.9,5.8,410,3,39,270,0.9,0.6,0.02,990,4.3,1.9,0,0.17,0.04,20,0.31,3.4,11,0.27,2,0,0.1
1455,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　電子レンジ調理,191,30.4,8.7,6.6,490,4,44,310,1.1,0.6,0.02,970,4.3,1.8,0,0.19,0.05,24,0.29,3.4,9,0.25,2,0,0.1
1456,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　焼き,202,29,10.6,5.8,500,3,42,290,0.9,0.6,0.02,1100,5,2,0,0.19,0.04,24,0.33,3.3,11,0.33,2,0,0.1
1457,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　ソテー,194,28,10.2,4.7,470,3,43,300,0.9,0.6,0.02,910,4.4,1.9,0,0.18,0.05,23,0.42,3.2,10,0.25,2,0,0.1
1458,＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　天ぷら,222,25.1,12.6,8.6,440,13,40,280,1,0.5,0.04,820,4.1,2.5,0,0.17,0.06,20,0.25,3.1,6,0.3,1,0,0.1
1459,＜魚類＞　（まぐろ類）　びんなが　生,111,26,0.7,4.7,440,9,41,310,0.9,0.5,0.05,4,7,0.7,0,0.13,0.1,26,0.94,2.8,4,0.31,1,0,0.1
1460,＜魚類＞　（まぐろ類）　みなみまぐろ　赤身　生,88,21.6,0.4,4.7,400,5,27,240,1.8,0.4,0.04,6,4,1,0,0.03,0.05,15,1.08,2.2,5,0.3,0,0,0.1
1461,＜魚類＞　（まぐろ類）　みなみまぐろ　脂身　生,322,20.3,28.3,6.6,280,9,29,210,0.6,0.4,0.05,34,5,1.5,0,0.1,0.06,15,1,1.5,4,0.29,5,0,0.1
1462,＜魚類＞　（まぐろ類）　めじまぐろ　生,139,25.2,4.8,5.8,410,9,40,290,1.8,0.5,0.09,61,12,1.2,0,0.19,0.19,24,0.73,6.9,6,0.59,1,0,0.1
1463,＜魚類＞　（まぐろ類） めばち　赤身　生,115,25.4,2.3,3,440,3,35,270,0.9,0.4,0.03,17,3.6,0.9,0,0.09,0.05,20,0.76,1.4,5,0.15,1,0,0.1
1464,＜魚類＞　（まぐろ類） めばち　脂身　生,158,23.9,7.5,4.2,400,4,31,240,0.7,0.4,0.03,37,8.1,2,1,0.07,0.05,18,0.8,1,5,0.17,1,0,0.3
1465,＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト,70,16,0.7,3.4,230,5,26,160,0.6,0.7,0.05,10,3,0.4,0,0.01,0.04,13,0.26,1.1,4,0.13,0,0,0.5
1466,＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ホワイト,96,18.3,2.5,4.1,280,6,34,200,1,0.7,0.04,0,2,0.4,0,0.07,0.03,15,0.15,1.4,7,0.13,0,0,0.7
1467,＜魚類＞　（まぐろ類）　缶詰　味付け　フレーク,134,19,2.3,10.4,280,24,31,350,4,1,0.12,0,5,0.7,0,0.07,0.03,12,0.16,3.7,13,0.23,0,0,1.9
1468,＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,265,17.7,21.7,3.8,230,4,25,160,0.5,0.3,0.04,8,2,2.8,44,0.01,0.03,12,0.26,1.1,3,0.09,0,0,0.9
1469,＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ホワイト,279,18.8,23.6,5.4,190,2,27,270,1.8,0.4,0.03,0,4,8.3,0,0.05,0.13,16,0.15,2,2,0.12,0,0,0.9
1470,＜魚類＞　マジェランあいなめ　生,243,13.3,22.9,5.7,300,10,18,210,0.1,0.3,0.01,1800,17,2.2,0,0.02,0.08,3.3,0.04,0.6,5,0.29,0,0,0.2
1471,＜魚類＞　まながつお　生,156,17.1,10.9,1.2,370,21,25,190,0.3,0.5,0.02,90,5,1.4,0,0.22,0.13,6.9,0.3,1.4,7,1.37,1,0,0.4
1472,＜魚類＞　みなみくろたち　生,112,21.7,3,4.3,460,22,34,240,0.6,0.5,0.05,55,2,1.9,0,0.06,0.2,11,0.5,6.5,4,0.85,1,0,0.3
1473,＜魚類＞　みなみだら　生,68,16.4,0.3,2.9,320,23,41,160,0.3,0.3,0.04,6,7,0.8,0,0.03,0.27,4.7,0.09,1.6,11,0.44,0,0,0.6
1474,＜魚類＞　むつ　生,175,16.7,12.6,3.2,390,25,20,180,0.5,0.4,0.03,8,4,0.9,0,0.03,0.16,5.5,0.1,1.9,6,0.31,0,0,0.2
1475,＜魚類＞　むつ　水煮,161,22.2,8.4,4.1,410,49,23,230,0.6,0.4,0.03,11,3.6,0.6,0,0.04,0.16,6.9,0.13,2.5,4,0.25,0,0,0.2
1476,＜魚類＞　めじな　生,113,19.4,4.5,4.5,380,27,30,240,0.3,0.9,0.03,55,1,0.8,0,0.05,0.38,6.2,0.16,1.8,2,0.44,0,0,0.2
1477,＜魚類＞　めばる　生,100,18.1,3.5,3.2,350,80,27,200,0.4,0.4,0.05,11,1,1.5,0,0.07,0.17,5,0.11,1.5,5,0.37,2,0,0.2
1478,＜魚類＞　メルルーサ　生,73,17,0.6,2.5,320,12,38,150,0.2,0.4,0.02,5,1,1.3,0,0.09,0.04,4.1,0.07,0.8,5,0.32,0,0,0.4
1479,＜魚類＞　やつめうなぎ　生,245,15.8,21.8,3.2,150,7,15,180,2,1.6,0.15,8200,3,3.8,0,0.25,0.85,5.6,0.2,4.9,19,1.18,2,0,0.1
1480,＜魚類＞　やつめうなぎ　干しやつめ,449,50.3,31.2,7.4,650,16,49,240,32,5.9,1.8,1900,12,2.4,0,0.33,1.69,15,0.14,55,100,5.76,0,0,0.3
1481,＜魚類＞　やまめ　養殖　生,108,18.4,4.3,0.9,420,85,28,280,0.5,0.8,0.04,15,8,2.2,0,0.15,0.16,6.9,0.22,6.6,13,1.48,3,0,0.1
1482,＜魚類＞　わかさぎ　生,71,14.4,1.7,3.1,120,450,25,350,0.9,2,0.19,99,2,0.7,0,0.01,0.14,4,0.17,7.9,21,0.51,1,0,0.5
1483,＜魚類＞　わかさぎ　つくだ煮,308,28.7,5.5,40.1,480,970,69,780,2.6,4.4,0.11,460,8,4.2,0,0.24,0.32,8.3,0.06,9.4,59,0.77,0,0,4.8
1484,＜魚類＞　わかさぎ　あめ煮,301,26.3,5.1,42.7,410,960,66,740,2.1,5.2,0.08,420,9,3.6,0,0.28,0.35,8.1,0.06,11,52,0,0,0,4.1
1485,＜貝類＞　あかがい　生,70,13.5,0.3,6.6,290,40,55,140,5,1.5,0.06,35,0,0.9,1,0.2,0.2,4.6,0.1,59,20,1.02,2,0,0.8
1486,＜貝類＞　あげまき　生,44,8.1,0.6,4.5,120,66,49,120,4.1,1.5,0.4,27,1,0.8,0,0.3,0.14,2.5,0.04,59,11,0.37,1,0,1.5
1487,＜貝類＞　あさり　生,27,6,0.3,2,140,66,100,85,3.8,1,0.06,4,0,0.4,0,0.02,0.16,2.4,0.04,52,11,0.39,1,0,2.2
1488,＜貝類＞　あさり　つくだ煮,218,20.8,2.4,36.2,270,260,79,300,19,2.8,0.18,43,0,1.4,4,0.02,0.18,4.4,0.09,15,42,0.4,0,0,7.4
1489,＜貝類＞　あさり　缶詰　水煮,102,20.3,2.2,7.8,9,110,46,260,30,3.4,0.29,6,0,2.7,3,0,0.09,4,0.01,64,10,0,0,0,1
1490,＜貝類＞　あさり　缶詰　味付け,124,16.6,1.9,16.3,35,87,44,180,28,3.2,0.24,6,0,2.3,4,0,0.06,3.9,0.01,36,1,0,0,0,1.6
1491,＜貝類＞　あわび　くろあわび　生,76,14.3,0.8,7.2,160,25,69,82,2.2,0,0,1,0,0.3,0,0.15,0.09,2.6,0.02,0.4,20,2.44,1,0,1.1
1492,＜貝類＞　あわび　まだかあわび　生,74,14.6,0.4,6.8,250,21,58,130,1.8,0,0,2,0,1.1,0,0.02,0.1,3.4,0.02,0.4,22,2.05,2,0,0.8
1493,＜貝類＞　あわび　めがいあわび　生,74,12.2,0.3,9.4,230,19,50,110,0.7,0,0,1,0,0.3,0,0.16,0.09,2.5,0.02,0.4,29,1.71,1,0,0.8
1494,＜貝類＞　あわび　干し,257,38,1.6,35.8,490,39,110,300,2,1.6,0.74,4,0,1.2,3,0.36,0.11,8.2,0.05,2.4,87,0.71,0,0,7.4
1495,＜貝類＞　あわび　塩辛,93,14.8,3.9,7,180,55,88,160,34,2.2,0.25,58,0,2.5,92,0.2,0.7,3.4,0.1,12,130,1.13,0,0,6.6
1496,＜貝類＞　あわび　水煮缶詰,85,19.4,0.4,6.8,130,20,58,230,1.8,0.6,0.42,0,0,1.5,0,0.04,0.04,3.5,0.02,0.7,3,0.23,0,0,1.4
1497,＜貝類＞　いがい　生,63,10.3,1.6,6.6,230,43,73,160,3.5,1,0.05,34,0,1.1,0,0.01,0.37,3.7,0.02,10,42,0.63,5,0,1.4
1498,＜貝類＞　いたやがい　養殖　生,55,10.8,0.8,4.9,260,48,74,170,2,6.1,0.1,6,0,0.4,0,0,0.2,2.9,0.07,13,14,0.24,0,0,1.1
1499,＜貝類＞　エスカルゴ　水煮缶詰,75,16.5,1,6,5,400,37,130,3.9,1.5,3.07,0,0,0.6,5,0,0.09,2.3,0,0.6,1,0,0,0,0.7
1500,＜貝類＞　かき　養殖　生,58,6.9,2.2,6.7,190,84,65,100,2.1,14,1.04,24,0.1,1.3,0,0.07,0.14,2.6,0.07,23,39,0.54,3,0,1.2
1501,＜貝類＞　かき　養殖　水煮,90,9.9,3.6,10.1,180,59,42,140,2.9,18,1.44,43,0.1,2.9,0,0.07,0.15,3.3,0.07,24,31,0.41,3,0,0.9
1502,＜貝類＞　かき　養殖　フライ,256,7.6,11.1,36,180,67,53,110,1.8,12,0.87,19,0.1,3.1,21,0.07,0.16,2.6,0.07,30,33,0.39,2,0,1
1503,＜貝類＞　かき　くん製油漬缶詰,288,12.5,22.6,12.1,140,35,42,260,4.5,25,2.81,2,0,9.5,0,0.05,0.09,3.5,0.02,32,25,0.56,0,0,0.8
1504,＜貝類＞　さざえ　生,83,19.4,0.4,6.3,250,22,54,140,0.8,2.2,0.39,31,0,2.3,3,0.04,0.09,4.1,0.05,1.3,16,0.24,1,0,0.6
1505,＜貝類＞　さざえ　焼き,91,21.3,0.4,7.2,220,29,67,120,0.9,2.5,0.73,44,0,2.8,2,0.04,0.1,4.1,0.06,1.1,22,0.3,1,0,0.7
1506,＜貝類＞　さるぼう　味付け缶詰,124,15.9,2.2,13.8,55,60,41,140,11,4.1,0.13,8,0,2.5,0,0.01,0.07,4.1,0.04,25,11,0.19,0,0,2.2
1507,＜貝類＞　しじみ　生,54,7.5,1.4,6.4,83,240,10,120,8.3,2.3,0.41,33,0.2,1.7,2,0.02,0.44,3.1,0.1,68,26,0.53,2,0,0.4
1508,＜貝類＞　しじみ　水煮,95,15.4,2.7,8.7,66,250,11,200,15,4,0.61,76,0.6,3.9,5,0.02,0.57,5,0.04,82,37,0.35,1,0,0.3
1509,＜貝類＞　たいらがい　貝柱　生,94,21.8,0.2,7.7,260,16,36,150,0.6,4.3,0.01,0,0,0.8,0,0.01,0.09,4.6,0.06,0,25,0.51,2,0,0.7
1510,＜貝類＞　たにし　生,73,13,1.1,7.9,70,1300,77,140,19,6.2,1.9,95,0,0.5,1,0.11,0.32,3.8,0.05,18,28,0.52,0,0,0.1
1511,＜貝類＞　つぶ　生,82,17.8,0.2,6.6,160,60,92,120,1.3,1.2,0.06,2,0,1.8,0,0,0.12,3.4,0.11,6.5,15,0.59,0,0,1
1512,＜貝類＞　とこぶし　生,78,16,0.4,7.7,250,24,55,160,1.8,1.4,0.3,5,0,1.3,0,0.15,0.14,4,0.07,3.2,24,1.57,1,0,0.7
1513,＜貝類＞　とりがい　斧足　生,81,12.9,0.3,9.9,150,19,43,120,2.9,1.6,0.05,0,0,1.2,0,0.16,0.06,3.7,0.04,10,18,1.1,1,0,0.3
1514,＜貝類＞　ばい　生,81,16.3,0.6,7.9,320,44,84,160,0.7,1.3,0.09,1,0,2.2,0,0.03,0.14,3.6,0.11,4.3,14,1.02,2,0,0.6
1515,＜貝類＞　ばかがい　生,56,10.9,0.5,5.1,220,42,51,150,1.1,1.8,0.05,5,0,0.8,0,0.14,0.06,3.8,0.08,7.9,18,0.79,1,0,0.8
1516,＜貝類＞　（はまぐり類）　はまぐり　生,35,6.1,0.6,3.7,160,130,81,96,2.1,1.7,0.1,9,0,0.6,0,0.08,0.16,2.1,0.08,28,20,0.37,1,0,2
1517,＜貝類＞　（はまぐり類）　はまぐり　水煮,79,14.9,1.5,7.8,180,130,69,190,3.9,2.5,0.23,16,0,2.8,1,0.15,0.27,4.1,0.05,20,23,0.45,1,0,1.2
1518,＜貝類＞　（はまぐり類）　はまぐり　焼き,70,13.3,1,7.2,230,140,87,140,3.3,2.4,0.2,16,0,2.3,0,0.13,0.29,4.1,0.12,33,27,0.57,2,0,2
1519,＜貝類＞　（はまぐり類）　はまぐり　つくだ煮,211,27,2.8,23,320,120,95,340,7.2,4.2,0.2,0,0,1.9,2,0.02,0.1,6.1,0.11,45,49,0.34,0,0,7.1
1520,＜貝類＞　（はまぐり類）　ちょうせんはまぐり　生,41,6.5,1,4.4,170,160,69,94,5.1,1.2,0.11,6,0,0.5,0,0.13,0.12,2.2,0.07,19,21,0.57,1,0,1.3
1521,＜貝類＞　ほたてがい　生,66,13.5,0.9,5.5,310,22,59,210,2.2,2.7,0.13,23,0,0.9,1,0.05,0.29,3.4,0.07,11,87,0.66,3,0,0.8
1522,＜貝類＞　ほたてがい　水煮,89,17.6,1.9,7.9,330,24,57,250,2.8,3.1,0.17,34,0,1.7,2,0.04,0.29,4.1,0.06,18,83,0.64,2,0,0.6
1523,＜貝類＞　ほたてがい　貝柱　生,82,16.9,0.3,7.9,380,7,41,230,0.2,1.5,0.03,1,0,0.8,0,0.01,0.06,4.1,0.11,1.7,61,0.28,2,0,0.3
1524,＜貝類＞　ほたてがい　貝柱　焼き,123,23.8,0.3,12.4,480,13,56,320,0.3,2.2,0.04,1,0,1.1,0,0.01,0.08,5.9,0.14,2.1,41,0.34,1,0,0.4
1525,＜貝類＞　ほたてがい　貝柱　煮干し,301,65.7,1.4,27.3,810,34,120,610,1.2,6.1,0.08,0,0,2.5,0,0.12,0.3,14,0.12,5.2,22,0.75,0,0,6.4
1526,＜貝類＞　ほたてがい　貝柱　水煮缶詰,87,19.5,0.6,7.5,250,50,37,170,0.7,2.7,0.03,0,0,1.1,0,0,0.05,3.7,0.09,2.6,7,0,0,0,1
1527,＜貝類＞　ほっきがい　生,66,11.1,1.1,7.7,260,62,75,160,4.4,1.8,0.15,7,0,1.4,0,0.01,0.16,3.5,0.12,48,45,0.2,2,0,0.6
1528,＜貝類＞　みるがい　水管　生,77,18.3,0.4,5.6,420,55,75,160,3.3,1,0.04,0,0,0.6,0,0,0.14,4.6,0.05,9.1,13,0.64,1,0,0.8
1529,＜えび・かに類＞　（えび類）　あまえび　生,85,19.8,1.5,4.2,310,50,42,240,0.1,1,0.44,3,0,3.4,0,0.02,0.03,4.4,0.04,2.4,25,0.21,0,0,0.8
1530,＜えび・かに類＞　（えび類）　いせえび　生,86,20.9,0.4,3.7,400,37,39,330,0.1,1.8,0.65,0,0,3.8,0,0.01,0.03,5.2,0.14,0.3,15,0.41,1,0,0.9
1531,＜えび・かに類＞　（えび類）　くるまえび　養殖　生,90,21.6,0.6,3.7,430,41,46,310,0.7,1.4,0.42,4,0,1.6,0,0.11,0.06,7,0.12,1.9,23,1.11,0,0,0.4
1532,＜えび・かに類＞　（えび類）　くるまえび　養殖　ゆで,116,28.2,0.5,5.1,500,61,57,390,1,1.8,0.62,5,0,2.3,0,0.09,0.05,8.6,0.08,2,17,1.07,0,0,0.5
1533,＜えび・かに類＞　（えび類）　くるまえび　養殖　焼き,97,23.5,0.4,4.3,400,55,49,330,1.4,1.6,0.58,4,0,2.7,0,0.11,0.05,7,0.08,2.3,15,1.06,1,0,0.5
1534,＜えび・かに類＞　（えび類）　さくらえび　生,78,16.6,2,4.9,310,630,69,330,0.3,1.3,0.9,2,0.1,2.3,0,0.1,0.08,5.1,0.1,4.5,94,0.29,1,0,0.7
1535,＜えび・かに類＞　（えび類）　さくらえび　ゆで,79,18.2,1.5,0.8,250,690,92,360,0.5,1.4,2.05,7,0,2.8,0,0.1,0.08,4.2,0.09,4.3,41,0.37,0,0,2.1
1536,＜えび・かに類＞　（えび類）　さくらえび　素干し,278,64.9,4,2,1200,2000,310,1200,3.2,4.9,3.34,0,0,7.2,0,0.17,0.15,17,0.21,11,230,1.16,0,0,3
1537,＜えび・かに類＞　（えび類）　さくらえび　煮干し,247,59.1,2.5,1.5,680,1500,260,860,3,4.1,2.61,0,0,3.4,0,0.16,0.11,14,0.05,3.5,82,0.51,0,0,8.6
1538,＜えび・かに類＞　（えび類）　大正えび　生,89,21.7,0.3,4.1,360,34,45,300,0.1,1.4,0.61,6,0,1.8,0,0.03,0.04,5.8,0.07,2.1,45,0.61,1,0,0.5
1539,＜えび・かに類＞　（えび類）　しばえび　生,78,18.7,0.4,3.3,260,56,30,270,1,1,0.35,4,0,1.7,0,0.02,0.06,5.5,0.1,1.1,57,0.38,2,0,0.6
1540,＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,82,19.6,0.6,3.3,270,68,37,220,1.4,1.2,0.33,0,0,1.7,0,0.03,0.04,6.8,0.14,1.2,38,0.23,1,0,0.3
1541,＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,194,20,10.3,9.2,250,96,36,200,0.5,1.3,0.29,1,0,3.6,13,0.04,0.06,6.8,0.1,1.1,34,0.23,0,0.9,0.3
1542,＜えび・かに類＞　（えび類）　ブラックタイガー　養殖　生,77,18.4,0.3,3.7,230,67,36,210,0.2,1.4,0.39,1,0,1.4,0,0.07,0.03,5.5,0.07,0.9,15,0.59,0,0,0.4
1543,＜えび・かに類＞　（えび類）　加工品　干しえび,207,48.6,2.8,1.9,740,7100,520,990,15,3.9,5.17,14,0,2.5,0,0.1,0.19,12,0.19,11,46,0.72,0,0,3.8
1544,＜えび・かに類＞　（えび類）　加工品　つくだ煮,239,25.9,2.2,31,350,1800,110,440,3.9,3.1,1.56,0,0,6.3,0,0.14,0.11,9.1,0.08,6.3,35,0.65,0,0,4.8
1545,＜えび・かに類＞　（かに類）　がざみ　生,61,14.4,0.3,4.2,300,110,60,200,0.3,3.7,1.1,1,0,1.8,0,0.02,0.15,6.3,0.18,4.7,22,0.78,0,0,0.9
1546,＜えび・かに類＞　（かに類）　毛がに　生,67,15.8,0.5,4.1,340,61,38,260,0.5,3.3,0.47,0,0,2.2,0,0.07,0.23,4.5,0.16,1.9,13,0.41,0,0,0.6
1547,＜えび・かに類＞　（かに類）　毛がに　ゆで,78,18.4,0.5,5.2,280,66,39,200,0.6,3.8,0.46,0,0,3.7,0,0.07,0.23,5.1,0.13,2.5,10,0.4,0,0,0.6
1548,＜えび・かに類＞　（かに類）　ずわいがに　生,59,13.9,0.4,3.6,310,90,42,170,0.5,2.6,0.35,0,0,2.1,0,0.24,0.6,10,0.13,4.3,15,0.48,0,0,0.8
1549,＜えび・かに類＞　（かに類）　ずわいがに　ゆで,65,15,0.6,4.2,240,120,55,150,0.7,3.1,0.56,0,0,2.6,0,0.21,0.57,8.3,0.11,7.2,9,0.54,0,0,0.6
1550,＜えび・かに類＞　（かに類）　ずわいがに　水煮缶詰,69,16.3,0.4,4.6,21,68,29,120,0.5,4.7,0.35,0,0,2,0,0,0.03,2.5,0,0.2,1,0,0,0,1.7
1551,＜えび・かに類＞　（かに類）　たらばがに　生,56,13,0.9,2.9,280,51,41,220,0.3,3.2,0.43,1,0,1.9,0,0.05,0.07,4.3,0.14,5.8,21,0.65,1,0,0.9
1552,＜えび・かに類＞　（かに類）　たらばがに　ゆで,77,17.5,1.5,3.2,230,48,51,190,0.2,4.2,0.41,1,0,3,0,0.07,0.06,5.1,0.13,9.9,15,0.48,0,0,0.8
1553,＜えび・かに類＞　（かに類）　たらばがに　水煮缶詰,85,20.6,0.3,5.5,90,52,34,220,0.2,6.3,0.58,0,0,2.9,0,0.02,0.1,3.3,0.04,6.1,4,0.26,0,0,1.5
1554,＜えび・かに類＞　（かに類）　加工品　がん漬,58,8.4,0.4,5.6,250,4000,530,200,1.7,2.4,1.36,0,0,1.8,1,0.1,0.5,3.2,0.07,2.2,7,0.26,0,0,19.1
1555,＜いか・たこ類＞　（いか類）　あかいか　生,81,17.9,1.5,5.1,330,12,46,280,0.1,1.2,0.21,4,0,2.2,0,0.01,0.02,4.7,0.1,2.3,2,0.31,1,0,0.5
1556,＜いか・たこ類＞　（いか類）　けんさきいか　生,77,17.5,1,5.5,330,12,46,260,0.1,1.3,0.16,7,0,1.6,0,0.01,0.02,5,0.11,2.5,4,0.28,2,0,0.5
1557,＜いか・たこ類＞　（いか類）　こういか　生,64,14.9,1.3,4.1,220,17,48,170,0.1,1.5,0.45,5,0,2.2,0,0.03,0.05,3.3,0.06,1.4,3,0.52,1,0,0.7
1558,＜いか・たこ類＞　（いか類）　するめいか　生,76,17.9,0.8,4.7,300,11,46,250,0.1,1.5,0.29,13,0.3,2.1,0,0.07,0.05,6.5,0.21,4.9,5,0.34,1,0,0.5
1559,＜いか・たこ類＞　（いか類）　するめいか　水煮,98,21.9,0.9,7.5,310,14,52,280,0.1,1.8,0.4,16,0,2.5,0,0.05,0.06,8,0.23,5.3,5,0.42,1,0,0.6
1560,＜いか・たこ類＞　（いか類）　するめいか　焼き,108,23.6,1,8.9,360,14,57,300,0.2,1.9,0.41,22,0,2.5,0,0.09,0.07,9.1,0.26,5.4,7,0.44,1,0,0.8
1561,＜いか・たこ類＞　（いか類）　するめいか　胴　皮つき　生,78,18.6,0.7,4.7,330,10,48,280,0.1,1.4,0.27,12,0.3,1.9,0,0.06,0.04,7.8,0.27,4.4,6,0.36,2,0,0.5
