NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
568,じゅんさい　若葉　水煮びん詰,4,0.4,0,0,2,4,2,5,0,0.2,0.02,2,0,0.1,16,0,0.02,0.1,0,0,3,0,0,1,0
569,（しょうが類）　葉しょうが　根茎　生,9,0.5,0.2,0.7,310,15,21,21,0.4,0.4,0.05,0,0,0.1,0,0.02,0.03,0.4,0.08,0,14,0.07,3,1.6,0
570,（しょうが類）　しょうが　根茎　皮なし　生,28,0.9,0.3,4.6,270,12,27,25,0.5,0.1,0.06,0,0,0.1,0,0.03,0.02,0.8,0.13,0,8,0.21,2,2.1,0
571,（しょうが類）　しょうが　根茎　皮なし　生　おろし,58,0.7,0.8,8.9,380,39,27,24,0.8,0.2,0.05,1,0,0.3,0,0.02,0.02,0.6,0.12,0,5,0.07,1,7.4,0
572,（しょうが類）　しょうが　根茎　皮なし　生　おろし汁,17,0.4,0.3,3.3,300,2,19,24,0.2,0.2,0.04,0,0,0.1,0,0.02,0.01,0.6,0.12,0,6,0.04,1,0.3,0
573,（しょうが類）　しょうが　漬物　酢漬,17,0.3,0.2,1.2,25,22,6,5,0.2,0,0.02,0,0,0.1,0,0,0.01,0.1,0,0,1,0,0,2.2,3.3
574,（しょうが類）　しょうが　漬物　甘酢漬,47,0.2,0.4,8.6,13,39,4,3,0.3,0,0.01,0,0,0.1,0,0.63,0,0.1,0,0,1,0,0,1.8,2
575,（しょうが類）　新しょうが　根茎　生,10,0.3,0.3,0.7,350,11,15,23,0.5,0.4,0.04,0,0,0.1,0,0.01,0.01,0.3,0.05,0,10,0.05,2,1.9,0
576,しろうり　果実　生,15,0.9,0.1,2.5,220,35,12,20,0.2,0.2,0.03,6,0,0.2,29,0.03,0.03,0.4,0.04,0,39,0.3,8,1.2,0
577,しろうり　漬物　塩漬,15,1,0.1,1.9,220,26,13,24,0.2,0.2,0.04,6,0,0.2,44,0.03,0.03,0.2,0.07,0,43,0.3,10,2.2,2
578,しろうり　漬物　奈良漬,216,4.6,0.2,37.2,97,25,12,79,0.4,0.8,0.07,2,0,0.1,6,0.03,0.11,1.4,0.39,0.1,52,0.57,0,2.6,4.8
579,ずいき　生ずいき　生,15,0.5,0,2.8,390,80,6,13,0.1,1,0.03,9,0,0.4,9,0.01,0.02,0.3,0.03,0,14,0.28,5,1.6,0
580,ずいき　生ずいき　ゆで,10,0.4,0,1.2,76,95,7,9,0.1,0.9,0.02,9,0,0.3,14,0,0,0.1,0.01,0,10,0.1,1,2.1,0
581,ずいき　干しずいき　乾,232,6.6,0.4,41.8,10000,1200,120,210,9,5.4,0.55,1,0,0.4,19,0.15,0.3,3.6,0.07,0,30,2,0,25.8,0
582,ずいき　干しずいき　ゆで,9,0.5,0,0.6,160,130,8,5,0.7,0.3,0.05,0,0,0.1,3,0,0.01,0.1,0,0,1,0.06,0,3.1,0
583,すいぜんじな　葉　生,16,0.6,0.6,0,530,140,42,42,0.5,0.5,0.07,350,0,3.8,270,0.06,0.12,0.6,0.08,0,66,0.03,17,4,0
584,すぐきな　葉　生,23,1.9,0.2,1.7,680,150,18,58,2.6,0.3,0.06,170,0,3.8,280,0.08,0.13,1.6,0.05,0,200,0.35,73,4,0.1
585,すぐきな　根　生,19,0.6,0.1,3.1,310,26,8,35,0.1,0.1,0.03,0,0,0,0,0.03,0.03,0.8,0.01,0,50,0.26,13,1.7,0.1
586,すぐきな　すぐき漬,30,2.6,0.7,1.6,390,130,25,76,0.9,0.4,0.08,250,0,2.2,270,0.12,0.11,1.9,0.13,0,110,0.24,35,5.2,2.2
587,ズッキーニ　果実　生,16,1.3,0.1,1.9,320,24,25,37,0.5,0.4,0.07,27,0,0.4,35,0.05,0.05,0.6,0.09,0,36,0.22,20,1.3,0
588,せり　茎葉　生,17,2,0.1,1,410,34,24,51,1.6,0.3,0.15,160,0,0.7,160,0.04,0.13,1.7,0.11,0,110,0.42,20,2.5,0
589,せり　茎葉　ゆで,17,2.1,0.1,0.8,190,38,19,40,1.3,0.2,0.1,150,0,0.6,160,0.02,0.06,1.1,0.07,0,61,0.32,10,2.8,0
590,セロリ　葉柄　生,12,0.4,0.1,1.1,410,39,9,39,0.2,0.2,0.03,4,0,0.2,10,0.03,0.03,0.1,0.08,0,29,0.26,7,1.5,0.1
591,ぜんまい　生ぜんまい　若芽　生,27,1.7,0.1,3.2,340,10,17,37,0.6,0.5,0.15,44,0,0.6,34,0.02,0.09,1.8,0.05,0,210,0.64,24,3.8,0
592,ぜんまい　生ぜんまい　若芽　ゆで,17,1.1,0.4,0.9,38,19,9,20,0.3,0.4,0.1,36,0,0.5,34,0.01,0.05,0.9,0,0,59,0.12,2,3.5,0
593,ぜんまい　干しぜんまい　干し若芽　乾,277,14.6,0.6,39.8,2200,150,140,200,7.7,4.6,1.2,59,0,1.4,120,0.1,0.41,11,0.02,0,99,3.1,0,34.8,0.1
594,ぜんまい　干しぜんまい　干し若芽　ゆで,25,1.7,0.1,2,19,20,9,16,0.4,0.3,0.14,1,0,0.2,20,0,0.01,0.4,0,0,1,0,0,5.2,0
595,そらまめ　未熟豆　生,102,10.9,0.2,15.6,440,22,36,220,2.3,1.4,0.39,20,0,0,18,0.3,0.2,2.9,0.17,0,120,0.46,23,2.6,0
596,そらまめ　未熟豆　ゆで,103,10.5,0.2,15.7,390,22,38,230,2.1,1.9,0.33,18,0,0,19,0.22,0.18,2.5,0.13,0,120,0.39,18,4,0
597,タアサイ　葉　生,12,1.3,0.2,0.6,430,120,23,46,0.7,0.5,0.05,180,0,1.5,220,0.05,0.09,1.4,0.12,0,65,0.19,31,1.9,0.1
598,タアサイ　葉　ゆで,11,1.1,0.2,0.5,320,110,18,43,0.6,0.4,0.04,200,0,1.7,230,0.02,0.03,0.8,0.05,0,42,0.09,14,2.1,0.1
599,（だいこん類）　かいわれだいこん　芽ばえ　生,21,2.1,0.5,2,99,54,33,61,0.5,0.3,0.03,160,0,2.1,200,0.08,0.13,2,0.23,0,96,0.29,47,1.9,0
600,（だいこん類）　葉だいこん　葉　生,17,2,0.2,1.1,340,170,25,43,1.4,0.4,0.05,190,0,1.5,220,0.07,0.15,1.2,0.22,0,130,0.39,49,2.6,0.1
601,（だいこん類）　だいこん　葉　生,23,2.2,0.1,1.6,400,260,22,52,3.1,0.3,0.04,330,0,3.8,270,0.09,0.16,1.3,0.18,0,140,0.26,53,4,0.1
602,（だいこん類）　だいこん　葉　ゆで,24,2.2,0.1,2.2,180,220,22,62,2.2,0.2,0.03,370,0,4.9,340,0.01,0.06,0.9,0.1,0,54,0.11,21,3.6,0.1
603,（だいこん類）　だいこん　根　皮つき　生,15,0.5,0.1,2.9,230,24,10,18,0.2,0.2,0.02,0,0,0,0,0.02,0.01,0.4,0.04,0,34,0.12,12,1.4,0
604,（だいこん類）　だいこん　根　皮つき　ゆで,15,0.4,0,3,210,24,9,18,0.2,0.2,0.02,0,0,0,0,0.02,0.01,0.3,0.03,0,38,0.1,9,1.6,0
605,（だいこん類）　だいこん　根　皮なし　生,15,0.4,0.1,3,230,23,10,17,0.2,0.1,0.02,0,0,0,0,0.02,0.01,0.3,0.05,0,33,0.11,11,1.3,0
606,（だいこん類）　だいこん　根　皮なし　生　おろし,25,0.6,0.2,3,190,63,23,19,0.3,0.3,0.02,0,0,0,0,0.02,0.01,0.3,0.04,0,23,0.07,7,5.1,0.1
607,（だいこん類）　だいこん　根　皮なし　生　おろし汁,12,0.3,0,2.7,140,14,9,13,0.1,0.1,0.01,0,0,0,0,0.02,0.01,0.2,0.03,0,21,0.07,7,0.1,0.1
608,（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,23,0.6,0.1,2.6,170,57,21,16,0.2,0.2,0.01,0,0,0,0,0.02,0.01,0.2,0.03,0,19,0.05,6,4.7,0.1
609,（だいこん類）　だいこん　根　皮なし　ゆで,15,0.5,0.1,2.5,210,25,10,14,0.2,0.1,0.01,0,0,0,0,0.02,0.01,0.3,0.04,0,33,0.08,9,1.7,0
610,（だいこん類）　切干しだいこん　乾,280,9.7,0.8,51.3,3500,500,160,220,3.1,2.1,0.13,0,0,0,0,0.35,0.2,6.1,0.29,0,210,1.24,28,21.3,0.5
611,（だいこん類）　切干しだいこん　ゆで,13,0.9,0.1,0.7,62,60,14,10,0.4,0.2,0.02,0,0,0,0,0.01,0,0.2,0.01,0,7,0.04,0,3.7,0
612,（だいこん類）　切干しだいこん　油いため,78,1.5,6,2.6,110,91,22,18,0.7,0.3,0.03,0,0,0.9,7,0.02,0.02,0.4,0.02,0,12,0.07,0,5.6,0
